ApName,Super Build／SS7,,,,,,,,,,,,,,,,
Version,1. 1. 1.14,,,,,,,,,,,,,,,,
工事名,（仮称）巨勢町賃貸マンション新築工事,,,,,,,,,,,,,,,,
略称,巨勢町賃貸マンション,,,,,,,,,,,,,,,,
結果名,結果1,,,,,,,,,,,,,,,,
出力日時,2020/9/1 9:25,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎フーチング材料,,,,,,,,,,,,,,,,,
材料,Fc,長期許容応力度,,,短期許容応力度,,,,,,,,,,,,
,または,圧縮,引張,せん断,圧縮,引張,せん断,付着(fb),,,,,,,,,
,,,,,,,杭頭M,-86,1.7,-82.7,-32.5,32.5,-0.1,0.1,<RE>,,
1FL,D,4,5,FG1,1,5200,上部,-69.2,-0.8,-70.7,-26.9,26.9,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-85,-2.8,-90.5,-33.8,33.8,-0.1,0.1,<RE>,,
1FL,D,5,6,FG1,1,5200,上部,-72.3,0.1,-72.3,-27.8,27.8,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-77.2,8.8,-59.7,-26.4,26.4,-0.1,0.1,<RE>,,
1FL,D,6,7,FG2,1,4995,上部,-71,1.7,-67.7,-27.8,27.8,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-108,-29.9,-167.6,-55.2,55.2,-0.1,0.1,<RE>,,
1FL,E,1,2,FB1,1,3000,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-2.7,-0.7,-3.9,-2.2,2.2,0.5,-0.5,<RE>,,
1FL,1,B,C,FG11,1,5036,上部,0.5,-0.2,0.2,0.2,-0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0.3,0.8,1.8,0.5,-0.5,0.2,-0.2,<RE>,,
1FL,1,C,D,FG11,1,2836,上部,-0.2,0.3,0.5,0.2,-0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-1.8,2.4,3,0.5,-0.5,0.2,-0.2,<RE>,,
1FL,1,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-3.5,1.6,-0.5,-2.2,2.2,2.7,-2.7,<RE>,,
1FL,2,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,2,B,C,FG11,1,5036,上部,0.7,-0.3,0.2,0.2,-0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-0.4,-0.7,-1.7,-0.4,0.4,0.2,-0.2,<RE>,,
1FL,2,C,D,FG11,1,2836,上部,-0.2,0.4,0.7,0.2,-0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,1.7,-2.3,-2.8,-0.4,0.4,0.2,-0.2,<RE>,,
1FL,2,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,3.5,-1.6,0.5,2.2,-2.2,3.9,-3.9,<RE>,,
1FL,3,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,3,B,D,FG11,1,7871,上部,0.6,0.1,0.6,0.2,-0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0.1,-0.1,-0.2,-0.1,0.1,-0.1,0.1,<RE>,,
1FL,3,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,4,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,4,B,D,FG11,1,7871,上部,0.2,-0.1,0.2,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0.1,-0.1,-0.1,-0.1,0.1,0.1,-0.1,<RE>,,
1FL,4,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,5,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,5,B,D,FG11,1,7871,上部,-0.4,-0.1,-0.4,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0.1,-0.1,-0.1,-0.1,0.1,-0.1,0.1,<RE>,,
1FL,5,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,6,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,6,B,D,FG11,1,7871,上部,-0.8,-0.1,-0.8,-0.2,0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0.1,-0.1,-0.1,-0.1,0.1,0.1,-0.1,<RE>,,
1FL,6,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,7,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,7,B,D,FG11,1,7871,上部,-0.7,-0.1,-0.7,-0.2,0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0.1,-0.1,-0.1,0,0,-0.1,0.1,<RE>,,
1FL,7,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎梁応力表,case=EX-,,,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,,,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,,,
<data>,,,,,,,,,,,,,,,,,
1FL,B,1,2,FG1,1,3000,上部,53.8,-10.4,33.1,29,-29,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,83.7,4.3,92.2,58.6,-58.6,0.3,-0.3,<RE>,,
1FL,B,2,3,FG1,1,4995,上部,36.4,13,62.3,19.8,-19.8,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,75.4,3.7,82.7,31.7,-31.7,-0.1,0.1,<RE>,,
1FL,B,3,4,FG1,1,5200,上部,81,-3.2,74.6,30,-30,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,85,-1.4,82.4,32.2,-32.2,-0.1,0.1,<RE>,,
1FL,B,4,5,FG1,1,5200,上部,69.3,0.9,71,27,-27,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,85.3,2.7,90.6,33.9,-33.9,-0.1,0.1,<RE>,,
1FL,B,5,6,FG1,1,5200,上部,72.7,-0.1,72.7,28,-28,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,77.1,-8.8,59.7,26.3,-26.3,-0.1,0.1,<RE>,,
1FL,B,6,7,FG2,1,4995,上部,71.4,-1.7,68,27.9,-27.9,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,108,29.9,167.6,55.2,-55.2,-0.1,0.1,<RE>,,
1FL,D,1,2,FG1,1,3000,上部,69.9,-13.9,42.1,37.4,-37.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,81.4,5.5,92.2,57.9,-57.9,-0.6,0.6,<RE>,,
1FL,D,2,3,FG1,1,4995,上部,36.5,12.6,61.5,19.7,-19.7,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,71.8,5,81.7,30.8,-30.8,0.2,-0.2,<RE>,,
1FL,D,3,4,FG1,1,5200,上部,79.9,-3,74.1,29.6,-29.6,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,86,-1.7,82.7,32.5,-32.5,0.1,-0.1,<RE>,,
1FL,D,4,5,FG1,1,5200,上部,69.2,0.8,70.7,26.9,-26.9,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,85,2.8,90.5,33.8,-33.8,0.1,-0.1,<RE>,,
1FL,D,5,6,FG1,1,5200,上部,72.3,-0.1,72.3,27.8,-27.8,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,77.2,-8.8,59.7,26.4,-26.4,0.1,-0.1,<RE>,,
1FL,D,6,7,FG2,1,4995,上部,71,-1.7,67.7,27.8,-27.8,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,108,29.9,167.6,55.2,-55.2,0.1,-0.1,<RE>,,
1FL,E,1,2,FB1,1,3000,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,2.7,0.7,3.9,2.2,-2.2,-0.5,0.5,<RE>,,
1FL,1,B,C,FG11,1,5036,上部,-0.5,0.2,-0.2,-0.2,0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-0.3,-0.8,-1.8,-0.5,0.5,-0.2,0.2,<RE>,,
1FL,1,C,D,FG11,1,2836,上部,0.2,-0.3,-0.5,-0.2,0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,1.8,-2.4,-3,-0.5,0.5,-0.2,0.2,<RE>,,
1FL,1,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,3.5,-1.6,0.5,2.2,-2.2,-2.7,2.7,<RE>,,
1FL,2,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,2,B,C,FG11,1,5036,上部,-0.7,0.3,-0.2,-0.2,0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0.4,0.7,1.7,0.4,-0.4,-0.2,0.2,<RE>,,
1FL,2,C,D,FG11,1,2836,上部,0.2,-0.4,-0.7,-0.2,0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-1.7,2.3,2.8,0.4,-0.4,-0.2,0.2,<RE>,,
1FL,2,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-3.5,1.6,-0.5,-2.2,2.2,-3.9,3.9,<RE>,,
1FL,3,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,3,B,D,FG11,1,7871,上部,-0.6,-0.1,-0.6,-0.2,0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-0.1,0.1,0.2,0.1,-0.1,0.1,-0.1,<RE>,,
1FL,3,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,4,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,4,B,D,FG11,1,7871,上部,-0.2,0.1,-0.2,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-0.1,0.1,0.1,0.1,-0.1,-0.1,0.1,<RE>,,
1FL,4,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,5,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,5,B,D,FG11,1,7871,上部,0.4,0.1,0.4,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-0.1,0.1,0.1,0.1,-0.1,0.1,-0.1,<RE>,,
1FL,5,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,6,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,6,B,D,FG11,1,7871,上部,0.8,0.1,0.8,0.2,-0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-0.1,0.1,0.1,0.1,-0.1,-0.1,0.1,<RE>,,
1FL,6,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,7,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,7,B,D,FG11,1,7871,上部,0.7,0.1,0.7,0.2,-0.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-0.1,0.1,0.1,0,0,0.1,-0.1,<RE>,,
1FL,7,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎梁応力表,case=EY+,,,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,,,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,,,
<data>,,,,,,,,,,,,,,,,,
1FL,B,1,2,FG1,1,3000,上部,-0.3,0.1,-0.1,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-0.1,0.1,-0.1,-0.1,0.1,3.2,-3.2,<RE>,,
1FL,B,2,3,FG1,1,4995,上部,-0.1,-0.1,-0.1,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0.1,0.1,0.1,0.1,-0.1,-0.1,0.1,<RE>,,
1FL,B,3,4,FG1,1,5200,上部,-0.2,0.1,-0.1,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0.1,-0.1,-0.1,0.1,-0.1,-0.1,0.1,<RE>,,
1FL,B,4,5,FG1,1,5200,上部,-0.1,-0.1,-0.1,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-0.1,0.1,-0.1,-0.1,0.1,0.1,-0.1,<RE>,,
1FL,B,5,6,FG1,1,5200,上部,-0.1,0.1,-0.1,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0.1,-0.1,0.1,0.1,-0.1,0.1,-0.1,<RE>,,
1FL,B,6,7,FG2,1,4995,上部,-0.1,-0.1,-0.2,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-0.1,0.1,0.1,-0.1,0.1,1,-1,<RE>,,
1FL,D,1,2,FG1,1,3000,上部,0.2,-0.1,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-2.2,0.3,-1.8,-1.4,1.4,2.3,-2.3,<RE>,,
1FL,D,2,3,FG1,1,4995,上部,0.1,0.1,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-0.5,0.2,-0.2,-0.2,0.2,0.2,-0.2,<RE>,,
1FL,D,3,4,FG1,1,5200,上部,0.2,-0.1,0.2,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0.2,-0.1,0.1,0.1,-0.1,0.1,-0.1,<RE>,,
1FL,D,4,5,FG1,1,5200,上部,0.2,0.1,0.2,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-0.1,0.1,-0.1,-0.1,0.1,0.1,-0.1,<RE>,,
1FL,D,5,6,FG1,1,5200,上部,0.2,-0.1,0.2,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0.1,-0.1,0.1,0.1,-0.1,0.1,-0.1,<RE>,,
1FL,D,6,7,FG2,1,4995,上部,0.2,0.1,0.2,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-0.1,0.1,-0.1,-0.1,0.1,1,-1,<RE>,,
1FL,E,1,2,FB1,1,3000,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,2.3,0.1,2.3,1.6,-1.6,0.9,-0.9,<RE>,,
1FL,1,B,C,FG11,1,5036,上部,-65.3,23.9,-17.5,-16.5,16.5,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-87,30.5,-26.1,-22.5,22.5,-0.1,0.1,<RE>,,
1FL,1,C,D,FG11,1,2836,上部,17.5,-40.8,-64.1,-16.5,16.5,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,26.1,-57.9,-89.7,-22.5,22.5,-0.1,0.1,<RE>,,
1FL,1,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,3.7,-2.3,-0.9,1.6,-1.6,-2.3,2.3,<RE>,,
1FL,2,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,2,B,C,FG11,1,5036,上部,-69.1,25,-19.3,-17.6,17.6,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-164.4,60.1,-44.4,-41.5,41.5,-0.1,0.1,<RE>,,
1FL,2,C,D,FG11,1,2836,上部,19.3,-44.1,-69,-17.6,17.6,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,44.4,-103.1,-161.9,-41.5,41.5,-0.1,0.1,<RE>,,
1FL,2,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-3.7,2.3,0.9,-1.6,1.6,-2.3,2.3,<RE>,,
1FL,3,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,3,B,D,FG11,1,7871,上部,-134,0.1,-133.8,-34.1,34.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-167.7,0.1,-167.5,-42.6,42.6,0.1,-0.1,<RE>,,
1FL,3,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,4,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,4,B,D,FG11,1,7871,上部,-134.2,0.1,-134.1,-34.1,34.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-167.7,0.1,-167.6,-42.6,42.6,-0.1,0.1,<RE>,,
1FL,4,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,5,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,5,B,D,FG11,1,7871,上部,-134.5,0.1,-134.3,-34.2,34.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-167.7,0.1,-167.7,-42.6,42.6,0.1,-0.1,<RE>,,
1FL,5,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,6,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,6,B,D,FG11,1,7871,上部,-134.7,0.1,-134.6,-34.3,34.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-168.5,0.1,-168.5,-42.9,42.9,-0.1,0.1,<RE>,,
1FL,6,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,7,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,7,B,D,FG11,1,7871,上部,-69.3,0.1,-69.2,-17.6,17.6,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-166.7,0.1,-166.7,-42.4,42.4,0.1,-0.1,<RE>,,
1FL,7,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎梁応力表,case=EY-,,,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,,,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,,,
<data>,,,,,,,,,,,,,,,,,
1FL,B,1,2,FG1,1,3000,上部,0.3,-0.1,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0.1,-0.1,0.1,0.1,-0.1,-3.2,3.2,<RE>,,
1FL,B,2,3,FG1,1,4995,上部,0.1,0.1,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-0.1,-0.1,-0.1,-0.1,0.1,0.1,-0.1,<RE>,,
1FL,B,3,4,FG1,1,5200,上部,0.2,-0.1,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-0.1,0.1,0.1,-0.1,0.1,0.1,-0.1,<RE>,,
1FL,B,4,5,FG1,1,5200,上部,0.1,0.1,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0.1,-0.1,0.1,0.1,-0.1,-0.1,0.1,<RE>,,
1FL,B,5,6,FG1,1,5200,上部,0.1,-0.1,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-0.1,0.1,-0.1,-0.1,0.1,-0.1,0.1,<RE>,,
1FL,B,6,7,FG2,1,4995,上部,0.1,0.1,0.2,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0.1,-0.1,-0.1,0.1,-0.1,-1,1,<RE>,,
1FL,D,1,2,FG1,1,3000,上部,-0.2,0.1,-0.1,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,2.2,-0.3,1.8,1.4,-1.4,-2.3,2.3,<RE>,,
1FL,D,2,3,FG1,1,4995,上部,-0.1,-0.1,-0.1,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0.5,-0.2,0.2,0.2,-0.2,-0.2,0.2,<RE>,,
1FL,D,3,4,FG1,1,5200,上部,-0.2,0.1,-0.2,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-0.2,0.1,-0.1,-0.1,0.1,-0.1,0.1,<RE>,,
1FL,D,4,5,FG1,1,5200,上部,-0.2,-0.1,-0.2,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0.1,-0.1,0.1,0.1,-0.1,-0.1,0.1,<RE>,,
1FL,D,5,6,FG1,1,5200,上部,-0.2,0.1,-0.2,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-0.1,0.1,-0.1,-0.1,0.1,-0.1,0.1,<RE>,,
1FL,D,6,7,FG2,1,4995,上部,-0.2,-0.1,-0.2,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0.1,-0.1,0.1,0.1,-0.1,-1,1,<RE>,,
